pokedex_number,name,japanese_name,type1,type2,classfication,height_m,weight_kg,generation,is_legendary,attack,defense,hp,speed,sp_attack,sp_defense,base_total,capture_rate,experience_growth,percentage_male,base_happiness,base_egg_steps,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,Bulbasaur,Fushigidaneフシギダネ,grass,poison,Seed Pokémon,0.7,6.9,1,0,49,49,45,45,65,65,318,45,1059860,88.1,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
2,Ivysaur,Fushigisouフシギソウ,grass,poison,Seed Pokémon,1,13,1,0,62,63,60,60,80,80,405,45,1059860,88.1,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
3,Venusaur,Fushigibanaフシギバナ,grass,poison,Seed Pokémon,2,100,1,0,100,123,80,80,122,120,625,45,1059860,88.1,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
4,Charmander,Hitokageヒトカゲ,fire,NA,Lizard Pokémon,0.6,8.5,1,0,52,43,39,65,60,50,309,45,1059860,88.1,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
5,Charmeleon,Lizardoリザード,fire,NA,Flame Pokémon,1.1,19,1,0,64,58,58,80,80,65,405,45,1059860,88.1,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
6,Charizard,Lizardonリザードン,fire,flying,Flame Pokémon,1.7,90.5,1,0,104,78,78,100,159,115,634,45,1059860,88.1,70,5120,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
7,Squirtle,Zenigameゼニガメ,water,NA,Tiny Turtle Pokémon,0.5,9,1,0,48,65,44,43,50,64,314,45,1059860,88.1,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
8,Wartortle,Kameilカメール,water,NA,Turtle Pokémon,1,22.5,1,0,63,80,59,58,65,80,405,45,1059860,88.1,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
9,Blastoise,Kamexカメックス,water,NA,Shellfish Pokémon,1.6,85.5,1,0,103,120,79,78,135,115,630,45,1059860,88.1,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
10,Caterpie,Caterpieキャタピー,bug,NA,Worm Pokémon,0.3,2.9,1,0,30,35,45,45,20,20,195,255,1000000,50,70,3840,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
11,Metapod,Transelトランセル,bug,NA,Cocoon Pokémon,0.7,9.9,1,0,20,55,50,30,25,25,205,120,1000000,50,70,3840,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
12,Butterfree,Butterfreeバタフリー,bug,flying,Butterfly Pokémon,1.1,32,1,0,45,50,60,70,90,80,395,45,1000000,50,70,3840,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
13,Weedle,Beedleビードル,bug,poison,Hairy Pokémon,0.3,3.2,1,0,35,30,40,50,20,20,195,255,1000000,50,70,3840,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
14,Kakuna,Cocoonコクーン,bug,poison,Cocoon Pokémon,0.6,10,1,0,25,50,45,35,25,25,205,120,1000000,50,70,3840,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
15,Beedrill,Spearスピアー,bug,poison,Poison Bee Pokémon,1,29.5,1,0,150,40,65,145,15,80,495,45,1000000,50,70,3840,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
16,Pidgey,Poppoポッポ,normal,flying,Tiny Bird Pokémon,0.3,1.8,1,0,45,40,40,56,35,35,251,255,1059860,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
17,Pidgeotto,Pigeonピジョン,normal,flying,Bird Pokémon,1.1,30,1,0,60,55,63,71,50,50,349,120,1059860,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
18,Pidgeot,Pigeotピジョット,normal,flying,Bird Pokémon,1.5,39.5,1,0,80,80,83,121,135,80,579,45,1059860,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
19,Rattata,Korattaコラッタ,normal,dark,Mouse Pokémon,NA,NA,1,0,56,35,30,72,25,35,253,255,1000000,50,70,3840,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
20,Raticate,Rattaラッタ,normal,dark,Mouse Pokémon,NA,NA,1,0,71,70,75,77,40,80,413,127,1000000,50,70,3840,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
21,Spearow,Onisuzumeオニスズメ,normal,flying,Tiny Bird Pokémon,0.3,2,1,0,60,30,40,70,31,31,262,255,1000000,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
22,Fearow,Onidrillオニドリル,normal,flying,Beak Pokémon,1.2,38,1,0,90,65,65,100,61,61,442,90,1000000,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
23,Ekans,Arboアーボ,poison,NA,Snake Pokémon,2,6.9,1,0,60,44,35,55,40,54,288,255,1000000,50,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
24,Arbok,Arbokアーボック,poison,NA,Cobra Pokémon,3.5,65,1,0,95,69,60,80,65,79,448,90,1000000,50,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
25,Pikachu,Pikachuピカチュウ,electric,NA,Mouse Pokémon,0.4,6,1,0,55,40,35,90,50,50,320,190,1000000,50,70,2560,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
26,Raichu,Raichuライチュウ,electric,electric,Mouse Pokémon,NA,NA,1,0,85,50,60,110,95,85,485,75,1000000,50,70,2560,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
27,Sandshrew,Sandサンド,ground,ice,Mouse Pokémon,NA,NA,1,0,75,90,50,40,10,35,300,255,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
28,Sandslash,Sandpanサンドパン,ground,ice,Mouse Pokémon,NA,NA,1,0,100,120,75,65,25,65,450,90,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
29,Nidoran♀,Nidoran?ニドラン♀,poison,NA,Poison Pin Pokémon,0.4,7,1,0,47,52,55,41,40,40,275,235,1059860,0,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
30,Nidorina,Nidorinaニドリーナ,poison,NA,Poison Pin Pokémon,0.8,20,1,0,62,67,70,56,55,55,365,120,1059860,0,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
31,Nidoqueen,Nidoqueenニドクイン,poison,ground,Drill Pokémon,1.3,60,1,0,92,87,90,76,75,85,505,45,1059860,0,70,5120,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
32,Nidoran♂,Nidoran?ニドラン♂,poison,NA,Poison Pin Pokémon,0.5,9,1,0,57,40,46,50,40,40,273,235,1059860,100,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
33,Nidorino,Nidorinoニドリーノ,poison,NA,Poison Pin Pokémon,0.9,19.5,1,0,72,57,61,65,55,55,365,120,1059860,100,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
34,Nidoking,Nidokingニドキング,poison,ground,Drill Pokémon,1.4,62,1,0,102,77,81,85,85,75,505,45,1059860,100,70,5120,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
35,Clefairy,Pippiピッピ,fairy,NA,Fairy Pokémon,0.6,7.5,1,0,45,48,70,35,60,65,323,150,800000,24.6,140,2560,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
